    DEPTH,    RHOB,             NPHI,             CALI,             GR,               DT,               SP,               SFLU,             ILM,              ILD
    3039.000, 2.64281915,       0.03063660,       9.52150538,       35.69518717,      -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000
    3039.500, 2.65877660,       0.02108753,       9.46774194,       38.10160428,      -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000
    3040.000, 2.65127256,       0.02267905,       9.47040508,       38.90801792,      -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000
    3040.500, 2.65816969,       0.01312997,       9.56365833,       35.51820217,      -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000
    3041.000, 2.66128945,       0.00835544,       9.70703664,       35.61916139,      -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000,    -999.25000000
    3041.500, 2.64307643,       0.00517241,       10.28941352,      37.91471653,      53.03191489,      35.88709677,      58.38088005,      35.67523923,      41.35595147
    3042.000, 2.72299904,       0.00517241,       10.66058442,      36.47755663,      53.03191489,      35.88709677,      58.38088005,      35.67523923,      41.35595147
    3042.500, 2.69320866,       0.01472149,       10.61070512,      40.07937447,      53.56382979,      39.11290323,      61.32831205,      37.47634846,      46.77501688
    3043.000, 2.67472634,       0.02586207,       10.90544907,      45.47364684,      54.32635135,      41.77945368,      56.21916276,      34.36780820,      44.12440940
    3043.500, 2.57139365,       0.04018568,       11.19043232,      47.70043311,      55.13746908,      44.55187450,      50.36159943,      34.01556943,      35.91677141
    3044.000, 2.52667303,       0.03063660,       11.15174678,      45.33124680,      56.28298155,      47.62571986,      40.84984599,      24.73844303,      31.41982354
    3044.500, 2.65842086,       0.01177711,       10.91961203,      43.70742849,      56.22340426,      50.48571804,      30.02621458,      31.54212571,      32.41168672
    3045.000, 2.69415084,       0.01910237,       10.96225554,      45.19173812,      54.62765957,      52.82025856,      72.86640140,      36.56470561,      33.82862877
    3045.500, 2.65012476,       0.01990858,       10.87779920,      40.63572635,      54.09574468,      55.05123214,      52.90905695,      42.48886886,      44.69613239
    3046.000, 2.62721030,       0.02876253,       10.84362305,      38.08206787,      54.62765957,      56.70552620,      58.72941479,      37.51380907,      36.34984176
    3046.500, 2.64471321,       0.02098621,       10.96060995,      39.49956070,      57.28723404,      57.03308106,      36.56470561,      25.27168931,      29.29580234
    3047.000, 2.50573658,       0.02586207,       10.85645928,      41.52162415,      57.28723404,      58.28434591,      24.65693479,      24.65693479,      24.05713467
    3047.500, 2.52210827,       0.02904509,       10.97817562,      39.98814227,      55.69148936,      58.47121956,      47.94122644,      18.80580930,      21.06529636
    3048.000, 2.37815931,       0.07257255,       10.84200024,      49.89911678,      57.28723404,      58.69171121,      23.58048073,      22.37065212,      20.47078129
    3048.500, 2.57412678,       0.03984770,       10.98722929,      49.69422338,      57.28723404,      59.47390448,      21.27002320,      17.01217045,      19.89304491
    3049.000, 2.42650016,       0.16273210,       11.46832634,      46.79432114,      57.28933496,      57.42839573,      34.80740984,      21.28418488,      19.34033253
    3049.500, 2.57290881,       0.08474801,       11.47378053,      42.23942707,      53.50030080,      57.50721086,      24.65693479,      12.93721532,      18.79174327
    3050.000, 2.46814112,       0.16750663,       11.15867255,      44.05702812,      61.54255319,      56.24870974,      13.59760522,      16.59391704,      14.65193086
    3050.500, 2.59708931,       0.04018568,       11.01534789,      58.08752610,      57.28723404,      56.91299934,      7.20753487,       7.11838293,       10.08631897
    3051.000, 2.48757686,       0.15159151,       11.09408479,      36.48746440,      68.81848216,      56.90293006,      9.73701888,       15.02123607,      12.30889834
    3051.500, 2.27525884,       0.29094101,       11.35051447,      56.79903257,      57.14724680,      54.61340128,      30.13822799,      10.60118272,      9.83834137
    3052.000, 2.38236610,       0.20380839,       11.10009839,      58.81985428,      64.61072862,      56.02114936,      21.61182314,      4.66227153,       7.29780337
    3052.500, 2.56328141,       0.02745358,       10.76162918,      37.84936583,      80.49425326,      54.38487541,      4.32678316,       5.15039819,       5.68963033
    3053.000, 2.58901447,       0.06724138,       11.56284330,      36.07874729,      68.98936170,      52.82437243,      7.86365751,       8.26506383,       9.13039266
    3053.500, 2.05698774,       0.15159151,       12.94415282,      51.16156378,      57.28723404,      52.75445485,      39.85614005,      15.02123607,      16.59391704
    3054.000, 2.15047571,       0.05450928,       11.85667953,      52.41704895,      53.03191489,      54.42830380,      22.34386702,      9.83834137,       15.39984970
    3054.500, 2.41688000,       0.05610080,       11.84539611,      53.09456801,      61.01063830,      56.20810437,      9.36052626,       13.26330074,      12.61914689
    3055.000, 2.58591946,       0.04336870,       11.72103502,      54.80382797,      58.88297872,      56.00949818,      23.47192519,      16.59391704,      16.18594662
    3055.500, 2.40055117,       0.07997347,       11.73935986,      54.41169151,      57.81914894,      56.07870120,      22.90095140,      17.44096603,      16.61495232
    3056.000, 2.33674654,       0.04177719,       11.82848577,      51.15612003,      57.81914894,      56.83117790,      26.54756226,      12.30889834,      16.58503343
    3056.500, 2.43421108,       0.09429708,       11.97949495,      54.81905197,      57.81914894,      57.04132359,      13.94033591,      16.07033231,      16.61636933
    3057.000, 2.19943067,       0.14045093,       12.59291450,      55.64024527,      53.03191489,      57.66485757,      21.80033417,      11.94626009,      13.59760522
    3057.500, 2.13070771,       0.20888594,       13.74744765,      57.53366617,      61.54255319,      57.66278994,      10.86838791,      9.13039266,       11.56623889
    3058.000, 2.32260871,       0.27277573,       13.24596104,      61.16515938,      59.41489362,      57.66129032,      8.47338662,       6.94337364,       7.67032524
    3058.500, 2.28524187,       0.28494675,       12.73621734,      67.94279220,      65.79787234,      57.66356047,      6.77266704,       5.68963033,       6.13079059
    3059.000, 2.24903164,       0.24549072,       12.35099595,      65.16377439,      74.30851064,      57.67301701,      4.90026069,       5.41330414,       5.41330414
    3059.500, 2.35786991,       0.19933687,       11.92701323,      62.97325732,      66.86170213,      58.50928429,      4.77978513,       5.68963033,       5.98006179
    3060.000, 2.36363396,       0.20490716,       12.37509925,      58.51155076,      70.58510638,      58.63784519,      5.83303874,       5.98006179,       6.28531854
    3060.500, 2.25585096,       0.12294430,       12.43747927,      50.40131179,      68.45744681,      60.71079573,      7.11838293,       7.48174615,       6.13079059
    3061.000, 2.25049638,       0.11657825,       12.43738933,      48.83829249,      66.30986480,      59.33708154,      10.86838791,      10.34054691,      9.59646043
    3061.500, 2.31542898,       0.14363395,       12.32078551,      52.72094899,      62.15069247,      58.25305735,      12.30889834,      8.90591702,       10.08631897
    3062.000, 2.43465706,       0.08156499,       11.95785581,      54.83306879,      66.86170213,      56.83935841,      9.13039266,       9.13039266,       9.36052626
    3062.500, 2.52714460,       0.04258686,       11.60566261,      49.42856529,      63.13829787,      55.83040949,      10.34054691,      12.30889834,      10.86838791
    3063.000, 2.63037955,       0.04485577,       11.45262579,      47.97504015,      57.84476545,      53.80070160,      16.18594662,      16.68206899,      15.04589331
    3063.500, 2.57858750,       0.16114058,       12.10032157,      71.43994160,      56.05589097,      52.00647726,      22.90095140,      16.66461236,      15.04147749
    3064.000, 2.45828122,       0.14204244,       12.60184960,      77.78606521,      77.50000000,      51.03375095,      6.69046649,       7.11838293,       11.16212088
    3064.500, 2.40528087,       0.44764881,       12.21537929,      69.24702840,      70.58510638,      53.76768394,      8.44826602,       8.06186277,       8.25025388
    3065.000, 2.23089857,       0.44488039,       12.16763924,      101.09856946,     64.20212766,      51.37165178,      10.59551815,      4.32678316,       5.13239945
    3065.500, 2.60003772,       0.01940005,       11.77709210,      59.59801740,      79.62765957,      49.76010359,      3.29038118,       3.63487479,       5.28021513
    3066.000, 2.49205367,       0.02498826,       11.30352718,      45.30110096,      80.69148936,      48.73004182,      5.68963033,       9.59646043,       5.83303874
    3066.500, 2.18846075,       0.18459448,       11.89741489,      69.33377820,      63.67021277,      46.58044121,      53.44677177,      11.42317296,      12.93721532
    3067.000, 2.24353613,       0.41578249,       12.25906385,      75.53836947,      64.20212766,      44.48673693,      10.09223130,      7.48174615,       15.02123607
    3067.500, 2.31220150,       0.32347480,       13.18160533,      150.32406808,     72.26918004,      41.80592556,      3.91671425,       3.20948538,       4.11664587
    3068.000, 2.38590743,       0.08996349,       13.49950460,      58.74904600,      77.46362017,      37.67661616,      2.83387929,       3.82041971,       3.82041971
    3068.500, 2.28917940,       0.17788125,       13.21692843,      78.65308764,      65.79787234,      37.45510693,      9.36052626,       5.86615212,       5.83303874
    3069.000, 2.29436852,       0.23116711,       13.52931170,      111.84708050,     63.13829787,      38.36496020,      11.71109660,      5.17253194,       5.28021513
    3069.500, 2.31566133,       0.31551724,       12.52319225,      133.22707958,     89.20212766,      40.03139331,      3.05361148,       3.62016995,       3.82041971
    3070.000, 2.29912699,       0.40782493,       11.54116882,      142.13684228,     82.81914894,      41.41975751,      2.90530785,       2.44071170,       2.76420683
    3070.500, 2.32452271,       0.25026525,       11.03868644,      111.83326478,     102.76595745,     42.87238105,      2.44071170,       2.05041045,       2.20939435
    3071.000, 2.27784864,       0.18660477,       11.84229237,      81.66225168,      100.37234043,     41.19959282,      2.05041045,       2.10209151,       2.00000000
    3071.500, 2.26218761,       0.21206897,       12.36755410,      81.60181225,      84.41489362,      33.22512135,      2.10209151,       2.15507519,       1.59857383
    3072.000, 2.30498160,       0.18342175,       11.19168291,      81.87679985,      85.47872340,      29.28366617,      1.72252340,       1.81256727,       1.48354343
    3072.500, 2.32706958,       0.21047745,       11.83197729,      71.54066926,      82.28723404,      26.16653269,      1.55927203,       1.63671871,       1.48354343
    3073.000, 2.27001688,       0.22957560,       11.92944930,      85.94425875,      80.69148936,      24.79553896,      2.32217455,       1.63608214,       1.41149273
    3073.500, 2.29817386,       0.24389920,       11.42411257,      89.51060773,      86.54255319,      25.34180109,      1.55927203,       1.52093648,       1.34294128
    3074.000, 2.22410739,       0.27732095,       10.95040554,      88.03901315,      81.13354039,      26.17710126,      1.63886624,       1.48354343,       1.41149273
    3074.500, 2.14936482,       0.28381534,       11.46898277,      86.09966654,      87.21202253,      27.80853684,      1.48354343,       1.52093648,       1.41149273
    3075.000, 2.12956132,       0.27577661,       12.38595473,      92.66534128,      91.23242342,      29.75514545,      1.59857383,       1.72792369,       1.52093648
    3075.500, 2.21651027,       0.30763643,       12.08346613,      102.04124594,     83.88297872,      30.96873651,      1.76593999,       1.76504994,       1.68017423
    3076.000, 2.24941214,       0.30140969,       11.56357585,      107.45374620,     89.73404255,      32.67939315,      1.81045091,       1.85855076,       2.00000000
    3076.500, 2.26223195,       0.33782633,       11.84678746,      112.73814395,     92.39361702,      38.81607884,      1.95082892,       1.95618749,       2.20939435
    3077.000, 2.27766352,       0.32665782,       12.40978114,      116.38221424,     90.79787234,      42.26519346,      2.05041045,       1.99839356,       2.38070548
    3077.500, 2.31341126,       0.34098143,       11.39795060,      119.87228942,     91.86170213,      44.48707497,      2.15507519,       1.99796285,       2.50223038
    3078.000, 2.34714422,       0.34257294,       11.52571753,      121.08295193,     91.86170213,      46.34225453,      2.20939435,       2.05159800,       2.56529966
    3078.500, 2.35331810,       0.32188329,       11.60048791,      121.43965055,     90.79787234,      48.04149097,      2.38314623,       2.10003900,       2.62862875
    3079.000, 2.37265012,       0.33302387,       11.00940655,      123.08259223,     92.92553191,      48.91958347,      2.37802999,       2.09634655,       2.62828581
    3079.500, 2.35865692,       0.32984085,       10.63119714,      121.34459663,     91.32978723,      50.50752596,      2.37674443,       2.14960599,       2.63721200
    3080.000, 2.35873960,       0.35371353,       10.24060719,      118.64837860,     89.20212766,      51.17336115,      2.62995862,       2.26508263,       2.49803201
    3080.500, 2.35152636,       0.34416446,       10.24790475,      116.79101957,     89.73404255,      51.20871781,      2.20939435,       1.90286673,       2.50628830
    3081.000, 2.34095004,       0.36007958,       10.48987538,      115.90328843,     95.05319149,      51.97432835,      2.20939435,       1.81045091,       2.37554318
    3081.500, 2.35894298,       0.34416446,       10.54597707,      115.37143442,     94.52127660,      53.68870696,      2.32217455,       1.90286673,       2.37977318
    3082.000, 2.35761169,       0.34893899,       10.65070006,      110.94849489,     90.26595745,      55.02958627,      2.62995862,       2.00420586,       2.56529966
    3082.500, 2.24693405,       0.31233422,       11.56923380,      96.13000853,      90.26595745,      56.10858083,      2.62995862,       2.31528328,       2.62995862
    3083.000, 1.95336719,       0.33461538,       15.93355646,      76.50133659,      88.13829787,      57.52492286,      2.56529966,       2.56529966,       3.20948538
    3083.500, 1.95423973,       0.38713528,       15.90906842,      66.66139574,      78.56382979,      57.84325339,      4.11664587,       2.90530785,       4.11664587
    3084.000, 1.95335899,       0.38713528,       16.03151053,      64.70487311,      77.50000000,      58.47239024,      4.11664587,       3.29038118,       4.23046767
    3084.500, 1.94553087,       0.38236074,       16.16511789,      70.24319807,      76.43617021,      58.49228405,      4.54764706,       3.72649262,       4.00115902
    3085.000, 2.36214029,       0.38872679,       11.66510953,      107.74833516,     80.69148936,      57.64152503,      3.37331597,       4.32678316,       3.83632652
    3085.500, 2.44035863,       0.21749926,       11.91837242,      90.55915424,      80.15957447,      55.04409176,      5.15039819,       5.44955153,       5.41330414
    3086.000, 2.23196137,       0.19634435,       13.53333016,      64.37252097,      66.32978723,      51.71925393,      10.34054691,      8.21805609,       7.29780337
    3086.500, 1.93028606,       0.21489145,       14.24387508,      57.98188043,      64.20212766,      48.04540576,      9.36052626,       9.60317324,       9.10424272
    3087.000, 2.01633354,       0.12612732,       13.88028298,      42.47650326,      64.73404255,      43.52785499,      19.75261460,      9.59590808,       11.73833480
    3087.500, 2.35795714,       0.15636605,       13.28729278,      39.29321160,      57.81914894,      39.77412936,      17.01217045,      12.46305726,      11.69549145
    3088.000, 2.49008763,       0.11498674,       13.14750072,      39.45798966,      59.41489362,      36.12965547,      14.65193086,      14.65193086,      15.78800637
    3088.500, 2.47726355,       0.09907162,       13.02749695,      29.56783210,      59.41489362,      32.76842303,      27.09430412,      18.31204912,      19.75261460
    3089.000, 2.41951633,       0.12290439,       12.71190439,      26.23350239,      54.62765957,      33.46727142,      32.50819823,      19.95933566,      21.28418488
    3089.500, 2.39401354,       0.12894078,       12.67581093,      55.32243304,      59.94680851,      32.85413356,      15.17131622,      10.17878975,      18.33125327
    3090.000, 2.43320233,       0.07679045,       12.16277540,      35.48214654,      63.12008186,      32.08686886,      13.26330074,      10.08631897,      13.76790414
    3090.500, 2.18962146,       0.18342175,       13.74432516,      52.72710305,      67.89831159,      30.26918793,      14.29170521,      4.01543591,       10.08631897
